x,y,z,v_opt,s_opt
33.1081502,4.3999755,0,20,52.99387436
33.3081269,4.3999784,0,20,53.19385106
33.5081038,4.3999818,0,20,53.39382796
33.708081,4.3999857,0,20,53.59380516
33.9080577,4.3999901,0,20,53.79378186
34.1080346,4.399995,0,20,53.99375876
34.3080117,4.4000004,0,20,54.19373586
34.5079885,4.4000062,0,20,54.39371266
34.7079653,4.4000122,0,20,54.59368946
34.9079424,4.4000182,0,20,54.79366656
35.1079192,4.4000242,0,20,54.99364336
35.3078961,4.4000298,0,20,55.19362026
35.5078732,4.400035,0,20,55.39359736
35.70785,4.4000395,0,20,55.59357416
35.9078269,4.4000431,0,20,55.79355106
36.1078039,4.4000457,0,20,55.99352806
36.3077808,4.400047,0,20,56.19350496
36.5077577,4.4000469,0,20,56.39348186
36.7077347,4.4000452,0,20,56.59345886
36.9077115,4.4000415,0,20,56.79343566
37.1076884,4.4000351,0,20,56.99341256
37.3076654,4.400022,0,20,57.19338956
37.5076423,4.3999939,0,20,57.39336646
37.7076192,4.3999346,0,20,57.59334337
37.9075961,4.3998253,0,20,57.7933203
38.1075729,4.399646,0,20,57.99329718
38.3075496,4.3993766,0,20,58.19327406
38.5075262,4.3989972,0,20,58.39325102
38.7075024,4.3984876,0,20,58.59322787
38.9074781,4.3978279,0,20,58.79320466
39.1074534,4.3969981,0,20,58.99318168
39.3074275,4.3959782,0,20,59.19315838
39.5074005,4.3947482,0,20,59.39313517
39.7073722,4.393288,0,20,59.5931122
39.9073415,4.3915776,0,20,59.79308881
40.1073083,4.3895971,0,20,59.99306542
40.3072728,4.3873265,0,20,60.19304281
40.5072324,4.3847458,0,20,60.39301906
40.7071876,4.381835,0,20,60.59299545
40.9071388,4.3785742,0,20,60.79297324
41.1070817,4.3749434,0,20,60.9929491
41.3070174,4.3709227,0,20,61.19292522
41.5069467,4.3664922,0,19.9577432,61.39290361
41.7068629,4.361632,0,19.8795057,61.59287888
41.9067681,4.3563222,0,19.8025996,61.79285458
42.1066638,4.3505429,0,19.727015,61.99283381
42.3065401,4.3442745,0,19.6527422,62.19280838
42.5064005,4.337497,0,19.5797717,62.39278366
42.7062473,4.3301906,0,19.5080941,62.59276398
42.9060665,4.322336,0,19.4377003,62.7927375
43.1058639,4.3139132,0,19.3685811,62.99271236
43.3056424,4.3049024,0,19.3007276,63.19269396
43.5053833,4.2952847,0,19.2341308,63.39266628
43.7050949,4.2850402,0,19.1687817,63.59264046
43.9047816,4.274149,0,19.1046716,63.79262395
44.104418,4.2625929,0,19.0417914,63.99259454
44.3040166,4.2503519,0,18.9801322,64.19256814
44.5035828,4.2374061,0,18.9196851,64.3925538
44.7030836,4.2237383,0,18.8604406,64.59252224
44.9025368,4.2093282,0,18.8023897,64.79249531
45.1019489,4.194156,0,18.745523,64.99248377
45.3012774,4.1782058,0,18.6898307,65.19244941
45.5005473,4.1614568,0,18.6353029,65.39242197
45.6997661,4.1438893,0,18.5819299,65.59241384
45.8988798,4.1254893,0,18.5297008,65.7923759
46.0979229,4.1062349,0,18.4786051,65.99234811
46.2969035,4.0861068,0,18.4286321,66.19234416
46.4957536,4.0650934,0,18.3797697,66.39230147
46.6945207,4.0431716,0,18.3320065,66.59227378
46.8932126,4.020322,0,18.2853304,66.79227522
47.0917439,3.9965366,0,18.2397281,66.99222627
47.2901797,3.97179,0,18.1951866,67.19219917
47.4885262,3.9460634,0,18.1516926,67.39220715
47.6866768,3.9193532,0,18.109231,67.59214988
47.8847202,3.8916305,0,18.0677872,67.79212422
48.0826545,3.862878,0,18.0273461,67.99213595
48.2803605,3.8330963,0,17.9878906,68.19207247
48.4779446,3.8022531,0,17.9494046,68.39204942
48.6753926,3.7703334,0,17.9118711,68.59206087
48.8725845,3.7373409,0,17.8752692,68.79199373
49.0696372,3.7032403,0,17.8395828,68.99197528
49.2665199,3.6680206,0,17.8047973,69.19198334
49.4631211,3.6316868,0,17.770871,69.39191377
49.6595652,3.5942009,0,17.7378033,69.59190246
49.855797,3.5555579,0,17.7056177,69.79190296
50.0517257,3.5157615,0,17.6741434,69.99183247
50.2474799,3.474772,0,17.6434307,70.19183209
50.4429693,3.432594,0,17.6137296,70.39181981
50.6381431,3.389223,0,17.5848108,70.59175444
50.8331038,3.3446223,0,17.5558464,70.79175168
51.0277398,3.2988184,0,17.5267038,70.9917046
51.222029,3.2518476,0,17.4942608,71.19159094
51.4162313,3.2036762,0,17.4587991,71.39167847
51.609969,3.1544184,0,17.4208,71.59158001
51.8034676,3.1040196,0,17.3824555,71.79153437
51.9968342,3.0524549,0,17.3431593,71.99165823
52.189626,2.9998527,0,17.3024544,72.19149734
52.382262,2.9461054,0,17.2608016,72.39149085
52.5746586,2.8912392,0,17.2181636,72.59155771
52.7665487,2.8353368,0,17.1744833,72.79142489
52.9582819,2.7783012,0,17.1298376,72.99146159
53.1496383,2.7202008,0,17.0842521,73.19144391
53.3406082,2.661043,0,17.0377443,73.39136676
53.5313918,2.600768,0,16.9903458,73.59144539
53.7216678,2.5394802,0,16.9420807,73.79134824
53.9116685,2.4771077,0,16.8929772,73.99132473
54.1014023,2.4136479,0,16.8430589,74.19138987
54.2906075,2.3491905,0,16.7923492,74.39127325
54.4795835,2.2836344,0,16.7408751,74.59129707
54.668149,2.2170419,0,16.6886575,74.79127584
54.8563066,2.1494128,0,16.6357203,74.99121828
55.0441958,2.0806953,0,16.5820863,75.19127939
55.2315567,2.0109839,0,16.5277757,75.39118883
55.4186014,1.9401986,0,16.472812,75.59117953
55.6052701,1.8683591,0,16.417215,75.79119482
55.791454,1.7955053,0,16.3610049,75.99112511
55.9773133,1.7215717,0,16.3042029,76.19114975
56.162687,1.6466187,0,16.2468275,76.39110315
56.3476538,1.5706111,0,16.1888988,76.59107783
56.5322313,1.4935369,0,16.1304356,76.79110104
56.7162857,1.4154476,0,16.071456,76.99103593
56.8999518,1.3362811,0,16.0119791,77.19103736
57.0831358,1.2560719,0,15.9520226,77.39101209
57.2658508,1.1748084,0,15.8916044,77.59098341
57.4481258,1.092471,0,15.8307421,77.79099247
57.6298673,1.0090951,0,15.769453,77.99094624
57.8111477,0.9246402,0,15.7077548,78.19093428
57.9919197,0.8391203,0,15.6456643,78.3909147
58.1721776,0.7525298,0,15.5831986,78.59089176
58.3519214,0.6648597,0,15.520375,78.79087646
58.5311277,0.5761122,0,15.4572102,78.990854
58.7097967,0.4862773,0,15.3937204,79.1908363
58.8879063,0.3953558,0,15.3299242,79.39081067
59.0654657,0.303332,0,15.2658415,79.59079997
59.2424315,0.2102171,0,15.2014906,79.79076817
59.4188295,0.1159857,0,15.1369516,79.9907577
59.5946222,0.0206445,0,15.0721362,80.19074024
59.7697823,-0.0758034,0,15.0070405,80.39069838
59.9443697,-0.1734015,0,14.9415764,80.59071375
60.1182808,-0.272098,0,14.8753108,80.79067892
60.2915785,-0.3719342,0,14.8082792,80.99067732
60.4642384,-0.472905,0,14.7406476,81.19069368
60.6361222,-0.5749375,0,14.6724029,81.39058033
60.8075134,-0.6782101,0,14.6035663,81.59068074
60.9780899,-0.7825397,0,14.534123,81.79063325
61.1479768,-0.888012,0,14.464116,81.99059816
61.3172406,-0.9946811,0,14.3935498,82.19066947
61.4855818,-1.1023687,0,14.32242,82.39050786
61.6534166,-1.2113543,0,14.2507685,82.59062378
61.8203976,-1.3214274,0,14.1785619,82.79062063
61.9864663,-1.4325595,0,14.1058213,82.99044344
62.1520558,-1.5450574,0,14.032568,83.1906325
62.3166054,-1.6585557,0,13.9587588,83.39052856
62.4803895,-1.7732562,0,13.8844236,83.59048215
62.6434908,-1.8892359,0,13.8095483,83.79061542
62.8054694,-2.0061958,0,13.7341057,83.99040702
62.9668301,-2.1245168,0,13.6581164,84.19049984
63.1272995,-2.2440195,0,13.5815336,84.39057813
63.2865776,-2.3644923,0,13.5043387,84.59028594
63.445337,-2.4864635,0,13.4265385,84.79048964
63.6030392,-2.609542,0,13.3480589,84.99053538
63.7594961,-2.7335913,0,13.2688785,85.19020258
63.9154364,-2.8592102,0,13.1889846,85.39044615
64.0702426,-2.9859247,0,13.1082846,85.59049995
64.2237632,-3.1136205,0,13.0267396,85.79018668
64.3766305,-3.2428428,0,12.944312,85.99035365
64.5284151,-3.3732525,0,12.8609002,86.19046676
64.6788848,-3.5046608,0,12.7764336,86.39023981
64.828399,-3.6373948,0,12.6908465,86.59017182
64.9770354,-3.7715464,0,12.6040356,86.79039527
65.1243349,-3.9067157,0,12.5158918,86.99031496
65.2702988,-4.0429081,0,12.4263242,87.18994921
65.4155668,-4.1807389,0,12.3352263,87.39019935
65.5595683,-4.3196867,0,12.2424596,87.59030663
65.7022198,-4.4596758,0,12.1479438,87.79017258
65.8435346,-4.6007211,0,12.0515387,87.98983141
65.9840484,-4.7433732,0,11.9530371,88.19006565
66.1232406,-4.8871249,0,11.8527615,88.39016318
66.2610843,-5.0319428,0,11.7498111,88.59009594
66.3975719,-5.1778367,0,11.6450581,88.78988056
66.5328507,-5.3249859,0,11.5393196,88.98976363
66.6670261,-5.47342,0,11.4267396,89.18985291
66.7999482,-5.6228433,0,11.3051941,89.38984193
66.9316589,-5.7733226,0,11.1850227,89.58982125
67.0620424,-5.9248664,0,11.0670942,89.78973468
67.1910094,-6.0775175,0,10.9504895,89.98957173
67.3187008,-6.2315831,0,10.8355834,90.18967496
67.4448491,-6.3868915,0,10.722131,90.38976017
67.5693494,-6.5434586,0,10.610048,90.58979412
67.6921148,-6.701321,0,10.4992651,90.78977382
67.8130572,-6.8605135,0,10.389679,90.9896971
67.9320885,-7.0210705,0,10.281197,91.18956456
68.0491311,-7.1830402,0,10.1737073,91.38939737
68.1642815,-7.3467231,0,10.0670118,91.58952659
68.2772503,-7.5118779,0,9.9609813,91.78962172
68.3879434,-7.678529,0,9.8554726,91.98968559
68.4962666,-7.8466988,0,9.7503238,92.18972307
68.6021248,-8.0164071,0,9.6453483,92.38974024
68.7054223,-8.1876701,0,9.540328,92.58974371
68.8060625,-8.3604987,0,9.4350061,92.78973915
68.9039475,-8.5348973,0,9.3290779,92.98973001
68.998978,-8.7108606,0,9.2221828,93.18971471
69.0910534,-8.888371,0,9.1140386,93.38968426
69.1800726,-9.0673954,0,9.0044766,93.58961963
