# x_ref_m, y_ref_m, width_right_m, width_left_m, x_normvec_m, y_normvec_m, alpha_m, s_racetraj_m, psi_racetraj_rad, kappa_racetraj_radpm, vx_racetraj_mps, ax_racetraj_mps2
-34.1188400, -59.9602988, 4.9965483, 5.0034517, -0.3817908, -0.9242488, -2.8360042, 323.3472508, -2.3373766, 0.0257631, 11.6757742, 5.2182058
-33.8418781, -60.0726726, 4.9966832, 5.0033168, -0.3702246, -0.9289423, -2.7309176, 323.6315283, -2.3323028, 0.0249806, 11.7648174, 5.2169534
-33.5634657, -60.1817021, 4.9968181, 5.0031819, -0.3591490, -0.9332802, -2.6230564, 323.9196323, -2.3226268, 0.0234134, 11.9408490, 5.2144497
-33.2836797, -60.2875427, 4.9969362, 5.0030638, -0.3485740, -0.9372813, -2.5125170, 324.2114737, -2.3180174, 0.0226390, 12.0278676, 5.2131982
-33.0025972, -60.3903500, 4.9969904, 5.0030096, -0.3385081, -0.9409635, -2.3994028, 324.5069464, -2.3092798, 0.0210791, 12.1999812, 5.2106963
-32.7202950, -60.4902793, 4.9970446, 5.0029554, -0.3289586, -0.9443444, -2.2838239, 324.8059288, -2.3051359, 0.0203137, 12.2851033, 5.2094457
-32.4368503, -60.5874864, 4.9970988, 5.0029012, -0.3199312, -0.9474408, -2.1658965, 325.1082848, -2.2973243, 0.0187734, 12.4535419, 5.2069456
-32.1523401, -60.6821265, 4.9975116, 5.0024884, -0.3114309, -0.9502688, -2.0457418, 325.4138655, -2.2936422, 0.0180180, 12.5368826, 5.2056959
-31.8668413, -60.7743553, 4.9983511, 5.0016489, -0.3034616, -0.9528437, -1.9234860, 325.7225099, -2.2867410, 0.0165065, 12.7018648, 5.2031976
-31.5804309, -60.8643281, 4.9991906, 5.0008094, -0.2960265, -0.9551797, -1.7992596, 326.0340464, -2.2835136, 0.0157621, 12.7835281, 5.2019488
-31.2931860, -60.9522006, 5.0000301, 4.9999699, -0.2891280, -0.9572905, -1.6731970, 326.3482934, -2.2775052, 0.0142849, 12.9452515, 5.1994523
-31.0051836, -61.0381282, 5.0007768, 4.9992232, -0.2827679, -0.9591884, -1.5454361, 326.6650609, -2.2747231, 0.0135519, 13.0253315, 5.1982044
-30.7165007, -61.1222663, 5.0014854, 4.9985146, -0.2769477, -0.9608850, -1.4161178, 326.9841508, -2.2695897, 0.0121103, 13.1839755, 5.1957097
-30.4272143, -61.2047706, 5.0021939, 4.9978061, -0.2716684, -0.9623909, -1.2853859, 327.3053582, -2.2650349, 0.0106797, 13.3406583, 5.1932161
-30.1374013, -61.2857964, 5.0029025, 4.9970975, -0.2669308, -0.9637157, -1.1533867, 327.6284719, -2.2629689, 0.0099760, 13.4182858, 5.1919698
-29.8471389, -61.3654993, 5.0028563, 4.9971437, -0.2627355, -0.9648679, -1.0202686, 327.9532753, -2.2592589, 0.0085785, 13.5721537, 5.1894780
-29.5565039, -61.4440348, 5.0027929, 4.9972071, -0.2590830, -0.9658551, -0.8861821, 328.2795471, -2.2576135, 0.0078844, 13.6484098, 5.1882325
